point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ew_002_52,main_ew_002,52,42.267926,-71.07138214078385,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_53,main_ew_002,53,42.267926,-71.07124739349125,True,0.6666666666666666,0.4,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_54,main_ew_002,54,42.267926,-71.07111264619863,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_55,main_ew_002,55,42.267926,-71.070977898906,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_56,main_ew_002,56,42.267926,-71.07084315161339,False,0.3333333333333333,0.6,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_57,main_ew_002,57,42.267926,-71.07070840432077,False,0.0,0.0,0.1111111111111111,0.3333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_58,main_ew_002,58,42.267926,-71.07057365702815,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_59,main_ew_002,59,42.267926,-71.07043890973554,False,0.0,0.4,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_60,main_ew_002,60,42.267926,-71.07030416244291,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_61,main_ew_002,61,42.267926,-71.0701694151503,True,1.0,1.0,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_62,main_ew_002,62,42.267926,-71.07003466785768,False,0.6666666666666666,0.8,0.8888888888888888,0.9333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_63,main_ew_002,63,42.267926,-71.06989992056506,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_64,main_ew_002,64,42.267926,-71.06976517327244,False,0.0,0.0,0.2222222222222222,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_65,main_ew_002,65,42.267926,-71.06963042597982,False,0.0,0.2,0.5555555555555556,0.7333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_66,main_ew_002,66,42.267926,-71.0694956786872,False,0.0,0.0,0.1111111111111111,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_67,main_ew_002,67,42.267926,-71.0693609313946,False,0.0,0.0,0.0,0.06666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_68,main_ew_002,68,42.267926,-71.06922618410196,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_69,main_ew_002,69,42.267926,-71.06909143680936,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_70,main_ew_002,70,42.267926,-71.06895668951674,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_71,main_ew_002,71,42.267926,-71.068878,False,0.0,0.4,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
